"logFC"	"logCPM"	"PValue"	"FDR"
"TRINITY_DN5930_c0_g1_i5"	-2.65199970222172	6.93012385541242	0.0102541634475764	1
"TRINITY_DN135453_c0_g1_i1"	-5.03812074060515	6.34441664292184	0.0104499571245754	1
"TRINITY_DN155625_c0_g1_i1"	-5.03812075524445	6.34441664292184	0.010452720536744	1
"TRINITY_DN111102_c0_g1_i1"	-5.03812091796709	6.34441664292184	0.0104835163417783	1
"TRINITY_DN11056_c0_g1_i2"	-5.03812093190923	6.34441664292184	0.0104861617148981	1
"TRINITY_DN10983_c1_g1_i1"	-5.03812094585469	6.34441664292184	0.0104888087910882	1
"TRINITY_DN1049_c0_g2_i1"	-5.03812099409012	6.34441664292184	0.0104979729446639	1
"TRINITY_DN31075_c2_g1_i1"	-5.03812102443667	6.34441664292184	0.0105037450168638	1
"TRINITY_DN31202_c0_g1_i1"	-5.03812113622783	6.34441664292184	0.0105250523117827	1
"TRINITY_DN32259_c0_g1_i1"	-5.03812129954534	6.34441664292184	0.0105563054756451	1
"TRINITY_DN33482_c0_g1_i1"	-5.03812147234735	6.34441664292184	0.010589536157819	1
"TRINITY_DN924_c0_g2_i1"	-5.03812162613294	6.34441664292184	0.010619251322194	1
"TRINITY_DN36148_c0_g1_i2"	-5.03812164623249	6.34441664292184	0.0106231449365345	1
"TRINITY_DN81240_c0_g1_i1"	-5.03812176735319	6.34441664292184	0.010646656585443	1
"TRINITY_DN7454_c0_g2_i1"	-5.038121822512	6.34441664292184	0.0106573915583637	1
"TRINITY_DN6050_c1_g3_i1"	-5.03812182322071	6.34441664292184	0.0106575295989348	1
"TRINITY_DN41285_c0_g1_i1"	-5.03812187103229	6.34441664292184	0.0106668489089345	1
"TRINITY_DN5481_c0_g2_i5"	-5.03812187783069	6.34441664292184	0.0106681750955127	1
"TRINITY_DN49347_c0_g2_i1"	-5.03812192782678	6.34441664292184	0.0106779361405165	1
"TRINITY_DN12215_c0_g1_i2"	-5.34717040336468	6.51230109004168	0.0108776055683708	1
"TRINITY_DN129696_c0_g1_i1"	5.05071442597901	6.34693767785712	0.011455483815721	1
"TRINITY_DN155737_c0_g1_i1"	5.05071442597901	6.34693767785712	0.0114912652973714	1
"TRINITY_DN19473_c0_g2_i1"	5.05071442597901	6.34693767785712	0.0115242295464634	1
"TRINITY_DN80635_c0_g1_i1"	5.05071442597901	6.34693767785712	0.0115308266580966	1
"TRINITY_DN27486_c0_g1_i1"	5.05071442597901	6.34693767785712	0.0115558176130147	1
"TRINITY_DN2945_c0_g3_i2"	5.05071442597901	6.34693767785712	0.0115613443752796	1
"TRINITY_DN98556_c0_g1_i1"	-5.03729497421209	6.34378653427253	0.0133034486051153	1
"TRINITY_DN88731_c0_g1_i1"	-5.03729442080494	6.34378653427253	0.0133091643850117	1
